מרחב,עיר
1,"אודם, ישראל"
1,"אל רום, ישראל"
1,"בוקעתא, ישראל"
1,"מג'דל שמס, ישראל"
1,"מסעדה, ישראל"
1,"נווה אטי''ב, ישראל"
1,"נמרוד, ישראל"
1,"עין קנייא, ישראל"
2,"אבני איתן, ישראל"
2,"אזור תעשייה בני יהודה, ישראל"
2,"אלי עד, ישראל"
2,"אפיק, ישראל"
2,"בני יהודה, ישראל"
2,"גבעת יואב, ישראל"
2,"גשור, ישראל"
2,"חמת גדר, ישראל"
2,"חספין, ישראל"
2,"כפר חרוב, ישראל"
2,"מבוא חמה, ישראל"
2,"מיצר, ישראל"
2,"נאות גולן, ישראל"
2,"נוב, ישראל"
2,"נטור, ישראל"
2,"רמת מגשימים, ישראל"
3,"אורטל, ישראל"
3,"אלוני הבשן, ישראל"
3,"יונתן, ישראל"
3,"מרום גולן, ישראל"
3,"עין זיוון, ישראל"
3,"קשת, ישראל"
7,"א סלבה, ישראל"
7,"אניעם, ישראל"
7,"חד נס, ישראל"
7,"כנף, ישראל"
7,"מעלה גמלא, ישראל"
7,"קדמת צבי, ישראל"
7,"קלע, ישראל"
7,"קצרין, ישראל"
7,"שעל, ישראל"
10,"האון, ישראל"
10,"מסדה, ישראל"
10,"מעגן, ישראל"
10,"עין גב, ישראל"
10,"רמות, ישראל"
10,"שער הגולן, ישראל"
10,"תל קציר, ישראל"
14,"בצת, ישראל"
14,"כפר ראש הנקרה, ישראל"
14,"לימן, ישראל"
14,"מצובה, ישראל"
14,"שלומי, ישראל"
15,"א נוואקיר, ישראל"
15,"אדמית, ישראל"
15,"אידמית, ישראל"
15,"אילון, ישראל"
15,"ג'ורדיח, ישראל"
15,"גורן, ישראל"
15,"גורנות הגליל, ישראל"
15,"חניתה, ישראל"
15,"יערה, ישראל"
15,"עראמשה, ישראל"
16,"אבן מנחם, ישראל"
16,"זרעית, ישראל"
16,"שומרה, ישראל"
16,"שתולה, ישראל"
17,"אבירים, ישראל"
17,"אלקוש, ישראל"
17,"נטועה, ישראל"
17,"פסוטה, ישראל"
19,"דוב''ב, ישראל"
19,"מתת, ישראל"
19,"סאסא, ישראל"
20,"חורפיש, ישראל"
20,"פקיעין, ישראל"
20,"פקיעין חדשה, ישראל"
20,"צבעון, ישראל"
20,"צוריאל, ישראל"
22,"אביבים, ישראל"
22,"ברעם, ישראל"
22,"יראון, ישראל"
23,"ג'יש, ישראל"
23,"דלתון, ישראל"
23,"כרם בן זמרה, ישראל"
23,"עלמה, ישראל"
23,"ריחאנייה, ישראל"
24,"דישון, ישראל"
24,"יפתח, ישראל"
24,"מלכיה, ישראל"
24,"מרכז כ''ח, ישראל"
24,"רמות נפתלי, ישראל"
25,"גונן, ישראל"
25,"כפר בלום, ישראל"
25,"כפר סאלד, ישראל"
25,"להבות הבשן, ישראל"
25,"נאות מרדכי, ישראל"
25,"עמיר, ישראל"
25,"שדה נחמיה, ישראל"
25,"שמיר, ישראל"
26,"בית הלל, ישראל"
26,"יובל, ישראל"
26,"כפר גלעדי, ישראל"
26,"מטולה, ישראל"
26,"מנרה, ישראל"
26,"מעיין ברוך, ישראל"
26,"מרגליות, ישראל"
26,"משגב עם, ישראל"
26,"קרית שמונה, ישראל"
26,"תל חי, ישראל"
28,"דן, ישראל"
28,"דפנה, ישראל"
28,"הגושרים, ישראל"
28,"ע'ג'ר, ישראל"
28,"שאר ישוב, ישראל"
28,"שניר, ישראל"
29,"גשר הזיו, ישראל"
29,"נהריה, ישראל"
29,"סער, ישראל"
29,"עברון, ישראל"
29,"שבי ציון, ישראל"
30,"בן עמי, ישראל"
30,"כברי, ישראל"
31,"געתון, ישראל"
31,"יחיעם, ישראל"
31,"מנות, ישראל"
31,"נווה זיו, ישראל"
31,"עבדון, ישראל"
31,"עין יעקב, ישראל"
32,"הילה, ישראל"
32,"חוסן, ישראל"
32,"כפר ורדים, ישראל"
32,"מעונה, ישראל"
32,"מעיליא, ישראל"
32,"מעלות תרשיחא, ישראל"
35,"לוחמי הגיטאות, ישראל"
35,"מזרעה, ישראל"
35,"רגבה, ישראל"
37,"בוסתן הגליל, ישראל"
37,"בית העמק, ישראל"
37,"ג'דידה מכר, ישראל"
37,"כפר מסריק, ישראל"
37,"נס עמים, ישראל"
37,"נתיב השיירה, ישראל"
37,"עין המפרץ, ישראל"
37,"עכו, ישראל"
37,"שייח' דנון, ישראל"
37,"שמרת, ישראל"
38,"אשרת, ישראל"
38,"ג'וליס, ישראל"
38,"גיתה, ישראל"
38,"טל אל, ישראל"
38,"ירכא, ישראל"
38,"כליל, ישראל"
38,"כפר יאסיף, ישראל"
38,"לפידות, ישראל"
38,"עמקה, ישראל"
40,"כישור, ישראל"
40,"פלך, ישראל"
40,"תובל, ישראל"
41,"יאנוח ג'ת, ישראל"
41,"כיסרא סומיע, ישראל"
41,"מגדל תפן, ישראל"
42,"ביענה, ישראל"
42,"גילון, ישראל"
42,"דייר אל אסד, ישראל"
42,"כרמיאל, ישראל"
42,"לבון, ישראל"
42,"מג'ד אל כרום, ישראל"
42,"נחף, ישראל"
42,"סאג'ור, ישראל"
42,"עין אל אסד, ישראל"
42,"צורית, ישראל"
42,"קובסי, ישראל"
42,"ראמה, ישראל"
42,"שגור, ישראל"
42,"שזור, ישראל"
43,"בית ג'ן, ישראל"
43,"חלוץ, ישראל"
43,"חרשים, ישראל"
44,"אור הגנוז, ישראל"
44,"אמירים, ישראל"
44,"בר יוחאי, ישראל"
44,"חמדת ימים, ישראל"
44,"כפר שמאי, ישראל"
44,"מירון, ישראל"
44,"מרכז אזורי מרום הגליל, ישראל"
44,"עין כמונים, ישראל"
44,"פרוד, ישראל"
44,"קדיתא, ישראל"
44,"שפר, ישראל"
46,"ספסופה, ישראל"
47,"איילת השחר, ישראל"
47,"גדות, ישראל"
47,"חולתה, ישראל"
47,"יסוד המעלה, ישראל"
47,"משמר הירדן, ישראל"
47,"עמוקה, ישראל"
47,"שדה אליעזר, ישראל"
49,"ביריה, ישראל"
49,"צפת, ישראל"
50,"אליפלט, ישראל"
50,"אלמגור, ישראל"
50,"אמנון, ישראל"
50,"ורד הגליל, ישראל"
50,"חצור הגלילית, ישראל"
50,"טובא זנגריה, ישראל"
50,"כורזים, ישראל"
50,"כפר הנשיא, ישראל"
50,"כפר נחום, ישראל"
50,"כרי דשא, ישראל"
50,"כרכום, ישראל"
50,"מחניים, ישראל"
50,"עמיעד, ישראל"
50,"ראש פינה, ישראל"
55,"ארבל, ישראל"
55,"גינוסר, ישראל"
55,"חוקוק, ישראל"
55,"חמאם, ישראל"
55,"כחל, ישראל"
55,"כפר זיתים, ישראל"
55,"כפר חיטים, ישראל"
55,"לבנים, ישראל"
55,"מגדל, ישראל"
55,"רביד, ישראל"
56,"טבריה, ישראל"
56,"מצפה, ישראל"
57,"בועיינה נוג'יידאת, ישראל"
57,"טפחות, ישראל"
57,"כלנית, ישראל"
57,"כפר חנניה, ישראל"
57,"מגאר, ישראל"
57,"מסד, ישראל"
57,"מצפה נטופה, ישראל"
57,"עיילבון, ישראל"
57,"עינבר, ישראל"
57,"קדרים, ישראל"
60,"אבטליון, ישראל"
60,"אשבל, ישראל"
60,"אשחר, ישראל"
60,"דייר חנא, ישראל"
60,"הררית, ישראל"
60,"חוג'ייראת, ישראל"
60,"חוסנייה, ישראל"
60,"חזון, ישראל"
60,"יחד, ישראל"
60,"כמאנה, ישראל"
60,"כמון, ישראל"
60,"לוטם, ישראל"
60,"מורן, ישראל"
60,"מכמנים, ישראל"
60,"סח'נין, ישראל"
60,"סלמה, ישראל"
60,"עראבה, ישראל"
60,"ערב אזונר, ישראל"
60,"צביה, ישראל"
60,"ראס אל עין, ישראל"
60,"תרדיון, ישראל"
61,"בית רימון, ישראל"
61,"עוזייר, ישראל"
61,"רומאנה, ישראל"
61,"רומת היב, ישראל"
63,"אבו דיאב, ישראל"
63,"אום א סח'אלי, ישראל"
63,"אחיהוד, ישראל"
63,"אלון הגליל, ישראל"
63,"אעבלין, ישראל"
63,"אתגר, ישראל"
63,"ביר אל מכסור, ישראל"
63,"דמיידה, ישראל"
63,"הרדוף, ישראל"
63,"ח'ואלד, ישראל"
63,"חנתון, ישראל"
63,"טמרה, ישראל"
63,"יבור, ישראל"
63,"יובלים, ישראל"
63,"יודפת, ישראל"
63,"יסעור, ישראל"
63,"יעד, ישראל"
63,"כאבול, ישראל"
63,"כאוכב אבו אל היגא, ישראל"
63,"כפר מנדא, ישראל"
63,"מורשת, ישראל"
63,"מנוף, ישראל"
63,"מצפה אבי''ב, ישראל"
63,"מרכז אזורי מישגב, ישראל"
63,"נופית, ישראל"
63,"סואעד, ישראל"
63,"עדי, ישראל"
63,"עצמון שגב, ישראל"
63,"ערב אל גנאדי, ישראל"
63,"ערב אל נעים, ישראל"
63,"ערב אל סגיראת, ישראל"
63,"ערב אל סמניה, ישראל"
63,"קורנית, ישראל"
63,"ראס עלי, ישראל"
63,"רקפת, ישראל"
63,"שורשים, ישראל"
63,"שכניה, ישראל"
63,"שעב, ישראל"
63,"שפרעם, ישראל"
70,"אזור תעשייה נעמן, ישראל"
70,"כפר ביאליק, ישראל"
70,"קרית ביאליק, ישראל"
70,"קרית חיים, ישראל"
70,"קרית ים, ישראל"
70,"קרית מוצקין, ישראל"
70,"קרית שמואל, ישראל"
71,"אבטין, ישראל"
71,"אושה, ישראל"
71,"אל ח'וואלד מערב, ישראל"
71,"אפק, ישראל"
71,"יגור, ישראל"
71,"כפר המכבי, ישראל"
71,"כפר הנוער הדתי, ישראל"
71,"כפר חסידים א', ישראל"
71,"כפר חסידים ב', ישראל"
71,"סרכיס, ישראל"
71,"קרית אתא, ישראל"
71,"רומיחאת, ישראל"
71,"רכסים, ישראל"
71,"רמת יוחנן, ישראל"
75,"החותרים, ישראל"
75,"חיפה, ישראל"
75,"טירת כרמל, ישראל"
75,"כפר גלים, ישראל"
78,"נמל חיפה, ישראל"
80,"נשר, ישראל"
81,"בית צבי, ישראל"
81,"גבע כרמל, ישראל"
81,"ימין אורד, ישראל"
81,"מגדים, ישראל"
81,"נווה ים, ישראל"
81,"ניר עציון, ישראל"
81,"עין הוד, ישראל"
81,"עין חוד, ישראל"
81,"עין כרמל, ישראל"
81,"עתלית, ישראל"
82,"בית אורן, ישראל"
82,"גבעת וולפסון, ישראל"
82,"דאלית אל כרמל, ישראל"
82,"עספיא, ישראל"
86,"אורנים, ישראל"
86,"אלונים, ישראל"
86,"בית זיד, ישראל"
86,"בסמת טבעון, ישראל"
86,"כפר תקווה, ישראל"
86,"קרית טבעון, ישראל"
86,"שער העמקים, ישראל"
87,"אלוני אבא, ישראל"
87,"בית לחם הגלילית, ישראל"
87,"בית שערים, ישראל"
87,"גבעת אלה, ישראל"
87,"גבת, ישראל"
87,"גיניגר, ישראל"
87,"יפעת, ישראל"
87,"כעביה טבאש חג'אג'רה, ישראל"
87,"כפר יהושע, ישראל"
87,"מגדל העמק, ישראל"
87,"מנשית זבדה, ישראל"
87,"נהלל, ישראל"
87,"נווה יער, ישראל"
87,"עילוט, ישראל"
87,"ערב אל עיסאת, ישראל"
87,"רמת דוד, ישראל"
87,"רמת ישי, ישראל"
87,"שדה יעקב, ישראל"
87,"שמשית, ישראל"
87,"שריד, ישראל"
87,"תמרת, ישראל"
89,"היוגב, ישראל"
89,"כפר ברוך, ישראל"
90,"אחוזת ברק, ישראל"
90,"דברת, ישראל"
90,"דחי, ישראל"
90,"טמרה יזרעאל, ישראל"
90,"מפעלי גלבוע, ישראל"
90,"מרחביה מושב, ישראל"
90,"מרחביה קיבוץ, ישראל"
90,"נאעורה, ישראל"
90,"נורית, ישראל"
90,"נין, ישראל"
90,"סולם שונם, ישראל"
90,"עין חרוד איחוד, ישראל"
90,"עין חרוד מאוחד, ישראל"
90,"עפולה, ישראל"
93,"אביטל, ישראל"
93,"אדירים, ישראל"
93,"אומן, ישראל"
93,"ברק, ישראל"
93,"גבע, ישראל"
93,"גדיש, ישראל"
93,"גדעונה, ישראל"
93,"גן נר, ישראל"
93,"דבורה, ישראל"
93,"חבר, ישראל"
93,"טייבה ליד מולדת, ישראל"
93,"יזרעאל, ישראל"
93,"יעל, ישראל"
93,"כפר יחזקאל, ישראל"
93,"מגן שאול, ישראל"
93,"מוקייבלה, ישראל"
93,"מיטב, ישראל"
93,"מלאה, ישראל"
93,"ניר יפה, ישראל"
93,"פרזון, ישראל"
93,"צנדלה, ישראל"
93,"רם און, ישראל"
93,"רמת צבי, ישראל"
93,"תל יוסף, ישראל"
95,"אכסאל, ישראל"
95,"בלפוריה, ישראל"
95,"הושעיה, ישראל"
95,"הסוללים, ישראל"
95,"יפיע, ישראל"
95,"כפר גדעון, ישראל"
95,"כפר החורש, ישראל"
95,"כפר כנא, ישראל"
95,"מזרע, ישראל"
95,"משהד, ישראל"
95,"נצרת, ישראל"
95,"נצרת עילית, ישראל"
95,"עין מאהל, ישראל"
95,"ערב אל פמאז, ישראל"
95,"ציפורי, ישראל"
95,"ריינה, ישראל"
95,"תל עדשים, ישראל"
96,"אילניה, ישראל"
96,"בית קשת, ישראל"
96,"גזית, ישראל"
96,"דבוריה, ישראל"
96,"טורעאן, ישראל"
96,"כדורי, ישראל"
96,"כפר מיסר, ישראל"
96,"כפר קיש, ישראל"
96,"כפר תבור, ישראל"
96,"עין דור, ישראל"
96,"שבלי, ישראל"
96,"שדמות דבורה, ישראל"
96,"שעורים, ישראל"
98,"אוהלו, ישראל"
98,"אלומות, ישראל"
98,"אפיקים, ישראל"
98,"אשדות יעקב איחוד, ישראל"
98,"אשדות יעקב מאוחד, ישראל"
98,"בית זרע, ישראל"
98,"בית ירח, ישראל"
98,"גבעת אבני, ישראל"
98,"דגניה א', ישראל"
98,"דגניה ב', ישראל"
98,"הודיות , ישראל"
98,"הזורעים, ישראל"
98,"יבנאל, ישראל"
98,"כינרת מושבה, ישראל"
98,"כינרת קבוצה, ישראל"
98,"כפר כמא, ישראל"
98,"כפר נהר הירדן, ישראל"
98,"לביא, ישראל"
98,"מנחמיה, ישראל"
98,"פוריה כפר עבודה, ישראל"
98,"פוריה נווה עובד, ישראל"
98,"פוריה עילית, ישראל"
98,"שדה אילן, ישראל"
98,"שרונה, ישראל"
102,"בת שלמה, ישראל"
102,"דור, ישראל"
102,"הבונים, ישראל"
102,"זכרון יעקב, ישראל"
102,"כרם מהר''ל, ישראל"
102,"מאיר שפיה, ישראל"
102,"מעיין צבי, ישראל"
102,"מרכז מיר''ב, ישראל"
102,"נחשולים, ישראל"
102,"עופר, ישראל"
102,"עין איילה, ישראל"
102,"פוריידיס, ישראל"
102,"צרופה, ישראל"
103,"אליקים, ישראל"
103,"ג'ועארה, ישראל"
103,"גלעד, ישראל"
103,"דליה, ישראל"
103,"הזורע, ישראל"
103,"יוקנעם, ישראל"
103,"יוקנעם עילית, ישראל"
103,"מגידו, ישראל"
103,"מדרך עוז, ישראל"
103,"משמר העמק, ישראל"
103,"עין העמק, ישראל"
103,"עין השופט, ישראל"
103,"רמות מנשה, ישראל"
103,"רמת השופט, ישראל"
104,"אביאל, ישראל"
104,"אלוני יצחק, ישראל"
104,"בית חנניה, ישראל"
104,"בנימינה גבעת עדה, ישראל"
104,"ג'סר א זרקא, ישראל"
104,"גבעת ניל''י, ישראל"
104,"כפר גליקסון, ישראל"
104,"מעגן מיכאל, ישראל"
104,"עמיקם, ישראל"
104,"רגבים, ישראל"
105,"אור עקיבא, ישראל"
105,"קיסריה, ישראל"
105,"שדות ים, ישראל"
106,"גן השומרון, ישראל"
106,"כפר פינס, ישראל"
106,"משמרות, ישראל"
106,"נווה אבות, ישראל"
106,"עין עירון, ישראל"
106,"עין שמר, ישראל"
106,"פרדס חנה כרכור, ישראל"
107,"חדרה, ישראל"
108,"גבעת חביבה, ישראל"
108,"גן שמואל, ישראל"
108,"מאור, ישראל"
108,"מענית, ישראל"
108,"שדה יצחק, ישראל"
108,"שער מנשה, ישראל"
108,"תלמי אלעזר, ישראל"
112,"אום אל קוטוף, ישראל"
112,"אל מועלקה, ישראל"
112,"אל עריאן, ישראל"
112,"ברקאי, ישראל"
112,"ד'הר אל עבד, ישראל"
112,"דאר אל חנון, ישראל"
112,"ח'ירבת אל עכאבה, ישראל"
112,"כפר קרע, ישראל"
112,"מנסורה, ישראל"
112,"מצפה אילן, ישראל"
112,"ערערה, ישראל"
112,"קציר חריש, ישראל"
112,"ריחן, ישראל"
113,"אום אל פחם, ישראל"
113,"בסמ''ה, ישראל"
113,"גבעת עוז, ישראל"
113,"ח'ירבת מועאוויה, ישראל"
113,"מי עמי, ישראל"
113,"מעלה עירון, ישראל"
118,"אום א ריחאן, ישראל"
118,"אום דאר, ישראל"
118,"בורקין, ישראל"
118,"האשימיה, ישראל"
118,"זובובא, ישראל"
118,"זיבדה, ישראל"
118,"ח'ירבת א טורם, ישראל"
118,"ח'ירבת א טייבה, ישראל"
118,"חיננית, ישראל"
118,"חרמש, ישראל"
118,"טורה על ע'רביה, ישראל"
118,"יאמון, ישראל"
118,"יעבד, ישראל"
118,"כופיראת, ישראל"
118,"כפר דאן, ישראל"
118,"כפר קוד, ישראל"
118,"מבוא דותן, ישראל"
118,"מנשיה, ישראל"
118,"נזלה א שרקיה, ישראל"
118,"נזלת זיד, ישראל"
118,"סילת אל ח'רית'יה, ישראל"
118,"עאנין, ישראל"
118,"עראבה ליד ג'נין, ישראל"
118,"ערקה, ישראל"
118,"פיראסין, ישראל"
118,"קפין, ישראל"
118,"רומאנה ממזרח לאום אל פחם, ישראל"
118,"שקד, ישראל"
118,"תיעניכ, ישראל"
118,"תעשיון שח''ק, ישראל"
119,"א שהאדה, ישראל"
119,"אום א תות, ישראל"
119,"איג'ניסיניא, ישראל"
119,"איכתאבא, ישראל"
119,"אירתאח, ישראל"
119,"אל ג'ארושיה, ישראל"
119,"אל מוטילה, ישראל"
119,"אל מוע'ייר, ישראל"
119,"אקרע, ישראל"
119,"באקה א שרקיה, ישראל"
119,"בורקה ליד שכם, ישראל"
119,"בזאריה, ישראל"
119,"בית אומרין, ישראל"
119,"בית קאד, ישראל"
119,"בלעא, ישראל"
119,"ג'בע, ישראל"
119,"ג'ודידה, ישראל"
119,"ג'לבון, ישראל"
119,"ג'למה, ישראל"
119,"ג'לקמוס, ישראל"
119,"ג'נין, ישראל"
119,"ג'רבה, ישראל"
119,"דיר אבו דעיף, ישראל"
119,"דיר אל ע'וסון, ישראל"
119,"דיר ע'זאלה, ישראל"
119,"דנאבה, ישראל"
119,"ואדי א דבע, ישראל"
119,"זאוויה בצפון שומרון, ישראל"
119,"זבאבידה, ישראל"
119,"ח'ירבת אל עקרבאניה, ישראל"
119,"ח'ירבת בית חסן, ישראל"
119,"טובאס, ישראל"
119,"טול כרם, ישראל"
119,"טלוזה, ישראל"
119,"טמון, ישראל"
119,"יאסיד, ישראל"
119,"כופיר, ישראל"
119,"כפר א לבד, ישראל"
119,"כפר ראעי, ישראל"
119,"כפר רומאן, ישראל"
119,"כשדה, ישראל"
119,"מוח'יים פארעה, ישראל"
119,"מירכה, ישראל"
119,"מית'לון, ישראל"
119,"מסיליה, ישראל"
119,"משרוע בית קאד, ישראל"
119,"נור א שמס, ישראל"
119,"נזלה אל ווסטא, ישראל"
119,"נזלה אל ע'רביה, ישראל"
119,"נזלת אבו נאר, ישראל"
119,"ניסף ג'וביל, ישראל"
119,"סאנור, ישראל"
119,"סידא, ישראל"
119,"סילת א דהר, ישראל"
119,"סיר, ישראל"
119,"סיריס, ישראל"
119,"עאבה, ישראל"
119,"עג'ה, ישראל"
119,"עטארה, ישראל"
119,"עילאר, ישראל"
119,"עין אל בידא, ישראל"
119,"ענבתא, ישראל"
119,"ענזה, ישראל"
119,"עסירה א שמאליה, ישראל"
119,"עקבה בשומרון, ישראל"
119,"עקבת תיאסיר, ישראל"
119,"עראנה, ישראל"
119,"ערבונה, ישראל"
119,"עתיל, ישראל"
119,"פחמה, ישראל"
119,"פנדקומיה, ישראל"
119,"פקועה, ישראל"
119,"קבאטיה, ישראל"
