מרחב,עיר
188,"בית אולא, ישראל"
188,"בית ג'מאל, ישראל"
188,"בית שמש, ישראל"
188,"בקוע, ישראל"
188,"גבעות עדן, ישראל"
188,"גבעת שמש, ישראל"
188,"גיזו, ישראל"
188,"דייר ראפאת, ישראל"
188,"הראל, ישראל"
188,"זנוח, ישראל"
188,"ח'ראס, ישראל"
188,"טל שחר, ישראל"
188,"ישעי, ישראל"
188,"כפר אוריה, ישראל"
188,"מחסיה, ישראל"
188,"מנזר לטרון, ישראל"
188,"מסילת ציון, ישראל"
188,"נובא, ישראל"
188,"נווה מיכאל, ישראל"
188,"נווה שלום, ישראל"
188,"נחם, ישראל"
188,"נחשון, ישראל"
188,"נתיב הל''ה, ישראל"
188,"פארק צרעה, ישראל"
188,"צלפון, ישראל"
188,"צרעה, ישראל"
188,"רוגלית, ישראל"
188,"תלם, ישראל"
188,"תעוז, ישראל"
188,"תרום, ישראל"
188,"תרקומיא, ישראל"
189,"אבו גוש, ישראל"
189,"איתנים, ישראל"
189,"בית מאיר, ישראל"
189,"בר גיורא, ישראל"
189,"גבעת יערים, ישראל"
189,"יד השמונה, ישראל"
189,"ידידה, ישראל"
189,"כסלון, ישראל"
189,"מטע, ישראל"
189,"נווה אילן, ישראל"
189,"נטף, ישראל"
189,"נס הרים, ישראל"
189,"עין נקובא, ישראל"
189,"עין ראפה, ישראל"
189,"קרית יערים, ישראל"
189,"רמת רזיאל, ישראל"
189,"שואבה, ישראל"
189,"שורש, ישראל"
190,"בידו, ישראל"
190,"בית זית, ישראל"
190,"בית נקופה, ישראל"
190,"בית סוריכ, ישראל"
190,"הר אדר, ישראל"
190,"מבשרת ציון, ישראל"
190,"מוצא עילית, ישראל"
190,"מעלה החמישה, ישראל"
190,"צובה, ישראל"
190,"קרית ענבים, ישראל"
191,"אבן ספיר, ישראל"
191,"אורה, ישראל"
191,"מבוא ביתר, ישראל"
191,"עמינדב, ישראל"
191,"צור הדסה, ישראל"
194,"א זעיים, ישראל"
194,"אבו דיס, ישראל"
194,"אל ולג'ה, ישראל"
194,"ביר נבאלה, ישראל"
194,"בית איכסא, ישראל"
194,"בית חנינא, ישראל"
194,"דיר כרמיזן, ישראל"
194,"חיזמא, ישראל"
194,"ירושלים, ישראל"
194,"ירושלים, ישראל"
194,"ענאתא, ישראל"
194,"רמת רחל, ישראל"
200,"א דיר במזרח הר חברון, ישראל"
200,"אבו נוג'ים, ישראל"
200,"אום א טלע, ישראל"
200,"אום סלמונה, ישראל"
200,"אום עסלה, ישראל"
200,"אל ח'דר, ישראל"
200,"אספר, ישראל"
200,"אספר, ישראל"
200,"ארטאס, ישראל"
200,"בד פלוח, ישראל"
200,"בווידיעה, ישראל"
200,"ביאדה בהר חברון, ישראל"
200,"בית רחאל, ישראל"
200,"בית תעמר, ישראל"
200,"ברד'עה, ישראל"
200,"ג'האלין, ישראל"
200,"ג'וב א רום, ישראל"
200,"ג'והזם, ישראל"
200,"ג'ורת א שמעה, ישראל"
200,"ד'הר חלת אל ג'אמיע, ישראל"
200,"דהיישה מחנה פליטים, ישראל"
200,"ואדי אל עראיס, ישראל"
200,"זעתרה, ישראל"
200,"ח'רזאן, ישראל"
200,"חוג'ילה, ישראל"
200,"חרמלה, ישראל"
200,"כפר אלדד, ישראל"
200,"מיניה, ישראל"
200,"מעלה אדומים, ישראל"
200,"מעלה עמוס, ישראל"
200,"מעסרה, ישראל"
200,"מצד שמעון, ישראל"
200,"מראח רבאח, ישראל"
200,"נוקדים, ישראל"
200,"עבדאללה איברהים, ישראל"
200,"עובידייה, ישראל"
200,"עיזרייה, ישראל"
200,"עילת עלי, ישראל"
200,"ערב א שמעה, ישראל"
200,"קדר, ישראל"
200,"ראס סניסיל, ישראל"
200,"רפידא, ישראל"
200,"תוקוע, ישראל"
200,"תעמרה, ישראל"
200,"תקוע, ישראל"
206,"א שויוח, ישראל"
206,"אל ערוב, ישראל"
206,"אלון שבות, ישראל"
206,"אלון שבות, ישראל"
206,"אלעזר, ישראל"
206,"אפרתה, ישראל"
206,"בית אומר, ישראל"
206,"בית כאחיל, ישראל"
206,"בית סכריא, ישראל"
206,"בית פג'אר, ישראל"
206,"ביתר עילית, ישראל"
206,"בת עין, ישראל"
206,"בתיר, ישראל"
206,"ג'אלא, ישראל"
206,"ג'בעה, ישראל"
206,"הר גילה, ישראל"
206,"ואדי פוכין, ישראל"
206,"ח'ירבת ספא, ישראל"
206,"חוסאן, ישראל"
206,"חלחול, ישראל"
206,"חסכה, ישראל"
206,"כוויזבא, ישראל"
206,"כפר עציון, ישראל"
206,"כרמי צור, ישראל"
206,"מגדל עוז, ישראל"
206,"מועסכר אל ערוב, ישראל"
206,"מראח אל בקר, ישראל"
206,"נווה דניאל, ישראל"
206,"נחאלין, ישראל"
206,"סוריף, ישראל"
206,"סיעיר, ישראל"
206,"עבדאללה איברהים, ישראל"
206,"ראש צורים, ישראל"
207,"א דיראת, ישראל"
207,"א טבקה, ישראל"
207,"א טוואני, ישראל"
207,"א ריחייה, ישראל"
207,"אדורה, ישראל"
207,"אימריש, ישראל"
207,"אל הג'רה, ישראל"
207,"אל חדב, ישראל"
207,"אל מאג'ור, ישראל"
207,"אל מראג'ם, ישראל"
207,"אל עלקה אל פוקא, ישראל"
207,"אל פוואר, ישראל"
207,"אל קוסור, ישראל"
207,"אפיניש, ישראל"
207,"בית עינון, ישראל"
207,"בית עמרה, ישראל"
207,"בני נעים, ישראל"
207,"ג'רון א לוז, ישראל"
207,"דהרייה, ישראל"
207,"דומא במרכז שומרון, ישראל"
207,"דורא, ישראל"
207,"דיר סאמת, ישראל"
207,"דיר ראזח, ישראל"
207,"הר עמשא, ישראל"
207,"ואדיח, ישראל"
207,"זיף, ישראל"
207,"ח'ירבת זיתא, ישראל"
207,"ח'ירבת כרמה, ישראל"
207,"ח'רסה, ישראל"
207,"ח'שם אל כרם, ישראל"
207,"חברון, ישראל"
207,"חגי, ישראל"
207,"טנא, ישראל"
207,"יטא יוטה, ישראל"
207,"ים המלח בתי מלון, ישראל"
207,"כעאבנה, ישראל"
207,"כרזה, ישראל"
207,"כרמיל, ישראל"
207,"כרמל, ישראל"
207,"לב יתיר, ישראל"
207,"מג'ד, ישראל"
207,"מעון, ישראל"
207,"מעין, ישראל"
207,"מצדה, ישראל"
207,"מצדות יהודה, ישראל"
207,"נגוהות, ישראל"
207,"נווה זוהר, ישראל"
207,"סובא, ישראל"
207,"סוסיה, ישראל"
207,"סימיא, ישראל"
207,"סמוע, ישראל"
207,"עבדה, ישראל"
207,"עווד, ישראל"
207,"עוזיז, ישראל"
207,"עין בוקק, ישראל"
207,"עין גדי, ישראל"
207,"ענאב אל כביר, ישראל"
207,"עתניאל, ישראל"
207,"פוקיקיס, ישראל"
207,"פני חבר, ישראל"
207,"קוואעין, ישראל"
207,"קילקיס, ישראל"
207,"קרית ארבע, ישראל"
207,"ראבוד, ישראל"
207,"ראפאת ליד סמוע, ישראל"
207,"רוג'ם אום ח'יר, ישראל"
207,"רוקעה, ישראל"
207,"שוויכה בהר חברון, ישראל"
207,"שייח' אחמד אל עבד, ישראל"
207,"שמעה, ישראל"
207,"שני ליבנה, ישראל"
207,"תפוח, ישראל"
207,"תראמה, ישראל"
210,"אבנת, ישראל"
210,"מצוקי דרגות, ישראל"
210,"מצפה שלם, ישראל"
217,"זיקים, ישראל"
217,"כרמיה, ישראל"
218,"יד מרדכי, ישראל"
218,"נתיב העשרה, ישראל"
219,"אור הנר, ישראל"
219,"ארז, ישראל"
220,"איבים, ישראל"
220,"גבים, ישראל"
220,"מכללת ספיר, ישראל"
220,"ניר עם, ישראל"
220,"שדרות, ישראל"
221,"מפלסים, ישראל"
222,"יכיני, ישראל"
223,"כפר עזה, ישראל"
223,"סעד, ישראל"
224,"נחל עוז, ישראל"
224,"עלומים, ישראל"
225,"זמרת, ישראל"
225,"חוות יזרעם, ישראל"
225,"כפר מימון, ישראל"
225,"שובה, ישראל"
225,"שוקדה, ישראל"
225,"תושיה, ישראל"
225,"תקומה, ישראל"
227,"בארי, ישראל"
228,"רעים, ישראל"
230,"כיסופים, ישראל"
231,"נירים, ישראל"
231,"עין השלושה, ישראל"
232,"ניר עוז, ישראל"
233,"מגן, ישראל"
233,"מועצה אזורית אשכול, ישראל"
233,"מפעלי מעון, ישראל"
233,"עין הבשור, ישראל"
234,"אוהד, ישראל"
234,"ישע, ישראל"
234,"מבטחים, ישראל"
234,"עמיעוז, ישראל"
234,"צוחר, ישראל"
234,"שדה ניצן, ישראל"
234,"תלמי אליהו, ישראל"
236,"חולית, ישראל"
236,"ניר יצחק, ישראל"
236,"סופה, ישראל"
237,"כרם שלום, ישראל"
238,"אבשלום, ישראל"
238,"בני נצרים, ישראל"
238,"דקל, ישראל"
238,"יבול, ישראל"
238,"יתד, ישראל"
238,"נווה, ישראל"
238,"פרי גן, ישראל"
238,"שדי אברהם, ישראל"
238,"שלומית, ישראל"
238,"תלמי יוסף, ישראל"
245,"ניצן, ישראל"
245,"ניצן ב', ישראל"
245,"ניצנים, ישראל"
246,"אשקלון, ישראל"
246,"באר גנים, ישראל"
247,"א.ת אשקלון, ישראל"
248,"ברכיה, ישראל"
248,"הודיה, ישראל"
248,"כפר סילבר, ישראל"
248,"משען, ישראל"
248,"ניר ישראל, ישראל"
249,"זוהר, ישראל"
249,"יד נתן, ישראל"
249,"כוכב מיכאל, ישראל"
249,"נגבה, ישראל"
249,"נהורה, ישראל"
249,"נוגה, ישראל"
249,"ניר ח''ן, ישראל"
249,"עוצם, ישראל"
249,"שדה יואב, ישראל"
249,"שחר, ישראל"
250,"בית שיקמה, ישראל"
250,"בת הדר, ישראל"
250,"גיאה, ישראל"
250,"מבקיעים, ישראל"
250,"תלמי יפה, ישראל"
251,"ברור חיל, ישראל"
251,"גברעם, ישראל"
251,"חלץ, ישראל"
251,"שדה דוד, ישראל"
251,"תלמים, ישראל"
252,"דורות, ישראל"
252,"חוות שיקמים, ישראל"
252,"רוחמה, ישראל"
253,"אשבול, ישראל"
253,"זרועה, ישראל"
253,"יושיביה, ישראל"
253,"מבועים, ישראל"
253,"ניר משה, ישראל"
253,"ניר עקיבא, ישראל"
253,"פעמי תש''ז, ישראל"
253,"קלחים, ישראל"
253,"שבי דרום, ישראל"
253,"שדה צבי, ישראל"
253,"תלמי ביל''ו, ישראל"
254,"בית הגדי, ישראל"
254,"נתיבות, ישראל"
254,"קרית חינוך שדות נגב, ישראל"
255,"ברוש, ישראל"
255,"גבעולים, ישראל"
255,"מלילות, ישראל"
255,"מעגלים, ישראל"
255,"שיבולים, ישראל"
255,"שרשרת, ישראל"
255,"תאשור, ישראל"
255,"תדהר, ישראל"
256,"אורים, ישראל"
256,"פטיש, ישראל"
257,"גבולות, ישראל"
257,"צאלים, ישראל"
266,"גאליה, ישראל"
266,"יבנה, ישראל"
266,"כפר הנגיד, ישראל"
267,"בית גמליאל, ישראל"
267,"בית רבן, ישראל"
267,"בן זכאי, ישראל"
267,"בניה, ישראל"
267,"כפר אביב, ישראל"
267,"כפר מרדכי, ישראל"
267,"כרם יבנה, ישראל"
267,"מישר, ישראל"
267,"משגב דב, ישראל"
267,"עשרת, ישראל"
267,"צופיה, ישראל"
267,"קבוצת יבנה, ישראל"
267,"שדמה, ישראל"
268,"בית אלעזרי, ישראל"
268,"בית חלקיה, ישראל"
268,"בני ראם, ישראל"
268,"ברורים, ישראל"
268,"גדרה, ישראל"
268,"גני טל, ישראל"
268,"חפץ חיים, ישראל"
268,"יד בנימין, ישראל"
268,"קדרון, ישראל"
268,"רבדים, ישראל"
271,"אשדוד, ישראל"
271,"בני דרום, ישראל"
271,"נווה הרצוג, ישראל"
271,"ניר גלים, ישראל"
271,"עד הלום, ישראל"
272,"אמונים, ישראל"
272,"בית עזרא, ישראל"
272,"גבעתי, ישראל"
272,"עזר, ישראל"
272,"עזריקם, ישראל"
272,"שדה עוזיהו, ישראל"
272,"שתולים, ישראל"
273,"ביצרון, ישראל"
273,"בני עי''ש, ישראל"
273,"גן הדרום, ישראל"
273,"גן יבנה, ישראל"
273,"חצב, ישראל"
273,"חצור אשדוד, ישראל"
273,"כנות, ישראל"
273,"נווה מבטח, ישראל"
275,"אביגדור, ישראל"
275,"אורות, ישראל"
275,"אחווה, ישראל"
275,"אל עזי, ישראל"
275,"באר טוביה, ישראל"
275,"ינון, ישראל"
275,"כפר אחים, ישראל"
275,"כפר הרי''ף, ישראל"
275,"כפר ורבורג, ישראל"
275,"כפר מנחם, ישראל"
275,"ערוגות, ישראל"
275,"קרית מלאכי, ישראל"
275,"תימורים, ישראל"
275,"תלמי יחיאל, ישראל"
276,"מרכז שפירא, ישראל"
276,"משואות יצחק, ישראל"
276,"עין צורים, ישראל"
276,"שפיר, ישראל"
278,"גבעת ישעיהו, ישראל"
278,"גפן, ישראל"
278,"זכריה, ישראל"
278,"כפר זוהרים, ישראל"
278,"לוזית, ישראל"
278,"נחושה, ישראל"
278,"עגור, ישראל"
278,"צפרירים, ישראל"
278,"שדות מיכה, ישראל"
278,"שריגים, ישראל"
278,"תירוש, ישראל"
280,"אלומה, ישראל"
280,"ורדון, ישראל"
280,"זבדיאל, ישראל"
280,"זרחיה, ישראל"
280,"מנוחה, ישראל"
280,"נחלה, ישראל"
280,"ניר בנים, ישראל"
280,"סגולה, ישראל"
280,"קדמה, ישראל"
280,"קוממיות, ישראל"
280,"רווחה, ישראל"
281,"אבן שמואל, ישראל"
281,"אחוזם, ישראל"
281,"איתן, ישראל"
281,"גת, ישראל"
281,"מבחור, ישראל"
281,"נועם, ישראל"
281,"עוזה, ישראל"
281,"קרית גת, ישראל"
281,"שדה משה, ישראל"
281,"שלווה, ישראל"
282,"בית גוברין, ישראל"
282,"בית ניר, ישראל"
282,"גלאון, ישראל"
282,"לכיש, ישראל"
285,"אל בירה בהר חברון, ישראל"
285,"אמציה, ישראל"
285,"אשכולות, ישראל"
285,"בורג', ישראל"
285,"בית א רוש אל פוקא, ישראל"
285,"בית מירסים, ישראל"
285,"בני דקלים, ישראל"
285,"כרם עמי, ישראל"
285,"כרמי קטיף, ישראל"
285,"נטע, ישראל"
285,"שומריה, ישראל"
285,"שקף, ישראל"
286,"א זיאדנה דרומית לרהט, ישראל"
286,"א זיאדנה צפונית לרהט, ישראל"
286,"אל הייל, ישראל"
286,"אל חוקוק, ישראל"
286,"אל עתאיקה, ישראל"
286,"בית קמה, ישראל"
286,"גבעות בר, ישראל"
286,"דבירה, ישראל"
286,"הוזייל, ישראל"
286,"כפר נוער עדנים, ישראל"
286,"להב, ישראל"
286,"להבים, ישראל"
286,"מפעלי אבשלום, ישראל"
286,"משמר הנגב, ישראל"
286,"רהט, ישראל"
286,"שובל, ישראל"
286,"תראבין א צאנה, ישראל"
287,"אבו ג'אבר, ישראל"
287,"אבו טראש, ישראל"
287,"אבו כף אום בטין, ישראל"
287,"אבו סריחאן, ישראל"
287,"אבו עבדון, ישראל"
287,"אבו עמרה, ישראל"
287,"אבו עסא, ישראל"
287,"אבו רוקייק, ישראל"
287,"אל אסד, ישראל"
287,"לקיה, ישראל"
287,"עומר, ישראל"
287,"תל שבע, ישראל"
288,"אופקים, ישראל"
288,"אופקים, ישראל"
288,"מסלול, ישראל"
288,"פדויים, ישראל"
288,"רנן, ישראל"
289,"בטחה, ישראל"
289,"גילת, ישראל"
289,"תפרח, ישראל"
291,"חצרים, ישראל"
292,"באר שבע, ישראל"
292,"מסעודין אל עזאזמה, ישראל"
296,"א נבארי, ישראל"
296,"א סייד , ישראל"
296,"אבו ג'אבר דרומית ממיתר, ישראל"
296,"אל עטאונה, ישראל"
296,"אעצם, ישראל"
296,"חורה, ישראל"
296,"כרמים, ישראל"
296,"כרמית, ישראל"
296,"מולדה, ישראל"
296,"מיתר, ישראל"
296,"סנסנה, ישראל"
296,"עוקבי, ישראל"
297,"אבו קוידר אל עפאוי דרומית לנבטים, ישראל"
297,"אבו תלול, ישראל"
297,"אל חמידי, ישראל"
297,"אל עת'אמין, ישראל"
297,"ביר אבו אל חמאם, ישראל"
297,"נבטים, ישראל"
297,"שגב שלום, ישראל"
299,"א דהאבשה, ישראל"
299,"אבו ג'ודה, ישראל"
299,"אבו ג'ווייעד, ישראל"
299,"אבו קרינאת, ישראל"
299,"אבו קרינאת מערבית לכסיפה, ישראל"
299,"אבו רביעה, ישראל"
299,"אבו רביעה צפונית לכסיפה, ישראל"
299,"אל ג'וויני, ישראל"
299,"אל ג'נאמי, ישראל"
299,"אל עביד, ישראל"
299,"אל קורעאן ב, ישראל"
299,"אל קרישי, ישראל"
299,"אל קרעאן, ישראל"
299,"אל קרעאן דרומית לערד, ישראל"
299,"אל קשכר, ישראל"
299,"ג'נאביב, ישראל"
299,"דריג'את, ישראל"
299,"זבארגה, ישראל"
299,"כוחלה, ישראל"
299,"כסיפה, ישראל"
299,"מכחול, ישראל"
299,"נצאצרה, ישראל"
299,"ערד, ישראל"
299,"ערערה בנגב, ישראל"
299,"קבועה, ישראל"
299,"קודייראת א צאנה, ישראל"
299,"קשכר נבארי, ישראל"
300,"א דנפירי, ישראל"
300,"אבו עפאש, ישראל"
300,"אל ג'רג'אווי, ישראל"
300,"אל ולידי, ישראל"
300,"אל כלאב, ישראל"
300,"עזאזמה, ישראל"
300,"עזאזמה דרומית לרמת חובב, ישראל"
300,"עזאזמה דרומית לשגב שלום, ישראל"
300,"עזאזמה מזרחית לרמת חובב, ישראל"
300,"רמת חובב, ישראל"
300,"תראבין א צאנה שבט, ישראל"
301,"אורון, ישראל"
301,"אל מחד'י צפונית לדימונה, ישראל"
301,"אל ע'ול צפונית לדימונה, ישראל"
301,"אל עמראני דרום מערב לדימונה, ישראל"
301,"דימונה, ישראל"
301,"הוואשלה, ישראל"
301,"ירוחם, ישראל"
301,"קסר א סיר, ישראל"
301,"קרנב אבו סלב, ישראל"
301,"רח'מה, ישראל"
302,"אשלים, ישראל"
302,"באר מילכה, ישראל"
302,"ביר הדאג', ישראל"
302,"טללים, ישראל"
302,"כמהין, ישראל"
302,"מעלה שביט, ישראל"
302,"משאבי שדה, ישראל"
302,"ניצנה כפר נוער, ישראל"
302,"ניצני סיני, ישראל"
302,"עזוז, ישראל"
302,"קציעות, ישראל"
302,"ראם תשלובת חקלאית, ישראל"
302,"רביבים, ישראל"
302,"רוח במדבר, ישראל"
302,"רתמים, ישראל"
302,"שיבטה, ישראל"
305,"מדרשת בן גוריון, ישראל"
305,"מצפה רמון, ישראל"
305,"מרחב עם, ישראל"
305,"שדה בוקר, ישראל"
305,"שלווה במדבר, ישראל"
308,"שיטים, ישראל"
310,"אליפז, ישראל"
310,"באר אורה, ישראל"
310,"גרופית, ישראל"
310,"חצבה, ישראל"
310,"יהל, ישראל"
310,"יטבתה, ישראל"
310,"לוטן, ישראל"
310,"נאות הכיכר, ישראל"
310,"נאות סמדר, ישראל"
310,"נווה חריף, ישראל"
310,"סמר, ישראל"
310,"ספיר, ישראל"
310,"עידן, ישראל"
310,"עין חצבה, ישראל"
310,"עין יהב, ישראל"
310,"עין תמר, ישראל"
310,"עיר אובות, ישראל"
310,"פארן, ישראל"
310,"צופר, ישראל"
310,"צוקים, ישראל"
310,"קטורה, ישראל"
310,"שחרות, ישראל"
311,"אילות, ישראל"
311,"אילת, ישראל"
